Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,4226,0,324,157,180,0.274902,0.831055,0.657227,1.968750,-19.897501,33.608749,-0.325872,0.326894,-0.058984,,160,139,126,116,906,,,,,,,,,-52,11:07:03.508,
,,4227,20,324,157,181,0.304688,0.810059,0.589844,-41.851250,-7.831250,33.687500,-0.323098,0.328792,-0.053582,,157,139,125,114,907,,,,,,,,,-52,11:07:03.508,
,,4228,40,323,159,181,0.294922,0.846191,0.678711,-40.197498,-27.615000,-4.068750,-0.321930,0.325288,-0.061904,,158,141,126,115,907,,,,,,,,,-52,11:07:03.538,
,,4229,60,324,157,181,0.293457,0.839844,0.729492,104.720001,-70.953751,-46.243752,-0.329084,0.323390,-0.047304,,157,140,126,116,907,,,,,,,,,-52,11:07:03.567,
,,4230,80,324,160,181,0.293457,0.877441,0.656250,180.057495,-75.678749,-49.043751,-0.333318,0.333172,-0.001606,,159,140,126,116,906,,,,,,,,,-52,11:07:03.568,
,,4231,100,326,159,181,0.316895,0.977539,0.608398,252.288757,-72.712502,-73.570000,-0.333318,0.333172,-0.001606,,158,142,125,115,906,,,,,,,,,-52,11:07:03.598,
,,4232,120,324,158,181,0.248535,0.943359,0.445801,270.016266,-67.690002,-86.415001,-0.347188,0.328646,0.020732,,158,141,125,116,906,,,,,,,,,-52,11:07:03.628,
,,4233,140,325,160,181,0.178223,0.927246,0.211914,249.287506,-70.875000,-77.533752,-0.364416,0.325142,0.052414,,159,140,127,116,907,,,,,,,,,-52,11:07:03.628,
,,4234,160,324,159,182,0.202637,0.914062,0.134766,275.423737,-77.175003,-63.726250,-0.370402,0.314630,0.111398,,158,140,126,116,906,,,,,,,,,-52,11:07:03.657,
,,4235,180,323,160,181,0.178711,0.948730,0.040039,216.798752,-82.127502,-33.915001,-0.388068,0.301636,0.131692,,157,141,125,114,907,,,,,,,,,-52,11:07:03.687,
,,4236,200,323,159,180,0.162109,0.965820,0.081543,163.117508,-73.456253,-30.178751,-0.388068,0.301636,0.131692,,158,141,124,116,908,,,,,,,,,-52,11:07:03.687,
,,4237,220,324,159,184,0.135742,0.892578,0.044922,121.397499,-54.083752,-26.162500,-0.391864,0.289664,0.157388,,158,141,126,115,906,,,,,,,,,-52,11:07:03.715,
,,4238,240,324,161,181,0.125000,0.814941,-0.018066,96.013748,-64.478752,5.643750,-0.396536,0.281342,0.163228,,159,139,124,115,906,,,,,,,,,-52,11:07:03.746,
,,4239,260,325,159,181,0.166016,0.839355,0.020020,112.358749,-115.797501,59.981251,-0.397704,0.277984,0.188340,,157,140,127,114,907,,,,,,,,,-52,11:07:03.747,
,,4240,280,324,160,181,0.229492,0.913574,-0.036133,143.342499,-161.647507,95.550003,-0.397850,0.259734,0.212284,,158,139,126,114,905,,,,,,,,,-52,11:07:03.777,
,,4241,300,325,159,181,0.363770,0.870117,-0.056641,26.573750,-124.223747,125.273750,-0.397850,0.259734,0.212284,,157,141,125,114,907,,,,,,,,,-52,11:07:03.806,
,,4242,320,325,158,181,0.314941,0.698242,-0.056641,-216.772507,-66.071251,240.686249,-0.400770,0.256084,0.207028,,158,141,126,116,906,,,,,,,,,-52,11:07:03.808,
,,4243,340,324,157,181,0.174316,0.480469,-0.106934,-284.541260,-29.601250,286.702515,-0.371278,0.279152,0.179726,,158,140,128,115,908,,,,,,,,,-52,11:07:03.837,
,,4244,360,323,158,181,0.057129,0.489258,0.083008,-270.121246,-21.682501,286.702515,-0.325872,0.292292,0.141766,,158,141,126,115,907,,,,,,,,,-52,11:07:03.868,
,,4245,380,324,160,181,0.063477,0.349121,0.239746,-255.106247,-15.487500,286.702515,-0.265282,0.285576,0.081760,,158,141,125,115,905,,,,,,,,,-52,11:07:03.868,
,,4246,400,326,160,181,0.460449,0.124512,0.668457,-208.101257,17.631250,286.702515,-0.265282,0.285576,0.081760,,159,141,127,115,907,,,,,,,,,-52,11:07:03.897,
,,4247,420,324,157,181,0.893066,-0.068359,1.037598,-157.368744,111.396248,286.702515,-0.201188,0.261194,0.055334,,159,141,128,116,907,,,,,,,,,-52,11:07:03.926,
,,4248,440,325,160,182,1.239746,-0.268555,1.409180,-65.764999,249.278748,286.702515,-0.134174,0.220752,0.025988,,159,141,127,116,908,,,,,,,,,-52,11:07:03.927,
,,4249,460,326,160,182,1.925293,-0.134277,1.563965,57.443748,286.702515,286.702515,-0.077818,0.153008,-0.014746,,159,141,129,115,907,,,,,,,,,-52,11:07:03.955,
,,4250,480,325,158,182,2.315918,0.227539,1.598145,160.816254,286.702515,286.702515,-0.045406,0.100156,-0.057086,,160,141,128,116,907,,,,,,,,,-52,11:07:03.985,
,,4251,500,325,158,181,2.236328,0.311035,1.548828,242.637497,286.702515,248.613754,-0.034310,0.077964,-0.109792,,159,141,128,115,906,,,,,,,,,-52,11:07:03.987,
,,4252,520,325,158,181,2.072266,0.397949,1.263672,286.343750,286.702515,115.631248,-0.034310,0.077964,-0.109792,,160,139,125,115,906,,,,,,,,,-52,11:07:04.015,
,,4253,540,323,157,180,1.873535,0.620117,0.830566,286.702515,286.702515,-130.812500,-0.065408,0.091834,-0.169944,,157,140,123,115,907,,,,,,,,,-52,11:07:04.046,
,,4254,560,324,159,181,1.598145,0.580078,0.654297,286.702515,286.702515,-281.951263,-0.120450,0.147314,-0.207904,,158,141,126,115,907,,,,,,,,,-52,11:07:04.047,
,,4255,580,323,158,180,1.375977,0.488770,0.362305,286.702515,286.702515,-286.702515,-0.212722,0.224548,-0.233016,,158,141,125,115,906,,,,,,,,,-52,11:07:04.077,
,,4256,600,322,157,180,1.187988,0.441895,0.067871,286.702515,286.702515,-286.702515,-0.325434,0.284116,-0.201188,,160,142,128,115,905,,,,,,,,,-52,11:07:04.106,
,,4257,620,326,157,182,0.839844,0.317871,-0.158203,281.688751,286.702515,-286.702515,-0.325434,0.284116,-0.201188,,158,140,127,115,906,,,,,,,,,-52,11:07:04.116,
,,4258,640,323,159,182,0.583008,0.149902,-0.476562,114.336250,286.702515,-286.702515,-0.428364,0.313024,-0.176806,,158,141,125,115,907,,,,,,,,,-52,11:07:04.137,
,,4259,660,324,159,181,0.323242,-0.017578,-0.687988,-39.103748,283.237488,-286.702515,-0.522680,0.294628,-0.160016,,159,141,125,116,908,,,,,,,,,-52,11:07:04.166,
,,4260,680,324,159,182,0.150391,-0.244141,-0.785156,-123.996254,231.699997,-286.702515,-0.603564,0.252142,-0.152716,,158,140,125,115,907,,,,,,,,,-52,11:07:04.167,
,,4261,700,323,159,181,-0.000488,-0.472168,-0.890625,-227.823746,164.464996,-286.702515,-0.663716,0.188340,-0.156512,,159,140,126,115,906,,,,,,,,,-52,11:07:04.198,
,,4262,720,324,158,181,-0.303223,-0.740723,-0.686035,-231.358749,60.751251,-286.702515,-0.663716,0.188340,-0.156512,,159,139,126,116,908,,,,,,,,,-52,11:07:04.227,
,,4263,740,324,158,180,-0.315918,-0.831055,-0.161621,-207.243744,-50.224998,-286.702515,-0.695106,0.115340,-0.178558,,158,141,126,113,907,,,,,,,,,-52,11:07:04.228,
,,4264,760,325,157,181,-0.267578,-0.908203,0.295410,-172.401245,-126.139999,-286.702515,-0.706932,0.044092,-0.212868,,157,141,125,115,906,,,,,,,,,-52,11:07:04.255,
,,4265,780,324,157,181,-0.750488,-1.331055,0.986816,-62.133751,-124.792503,-286.702515,-0.704304,-0.028324,-0.219292,,157,140,126,116,906,,,,,,,,,-52,11:07:04.286,
,,4266,800,324,158,181,-1.356445,-1.593750,1.239746,53.549999,-94.123749,-286.702515,-0.687660,-0.086870,-0.234330,,158,140,127,114,907,,,,,,,,,-52,11:07:04.287,
,,4267,820,317,153,177,-1.632324,-1.621582,1.407715,214.436249,-58.546249,-270.261261,-0.675834,-0.096506,-0.250536,,154,139,125,113,906,,,,,,,,,-52,11:07:04.317,
,,4268,840,323,157,181,-1.367676,-1.478027,1.750977,286.702515,-32.812500,-134.636246,-0.675834,-0.096506,-0.250536,,158,140,126,114,907,,,,,,,,,-52,11:07:04.348,
