Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,937,0,325,160,182,0.001953,-0.006836,1.041504,1.400000,-3.780000,-0.183750,0.050370,-0.172864,-0.454206,,160,140,125,114,917,,,,,,,,,-51,15:03:33.927,
,,938,20,328,160,182,0.010742,-0.006836,1.043945,1.251250,-3.683750,-0.210000,0.051976,-0.172864,-0.450702,,158,139,125,116,916,,,,,,,,,-51,15:03:33.949,
,,939,40,326,160,183,0.009766,-0.009277,1.034668,1.391250,-3.710000,-0.192500,0.051246,-0.169652,-0.444862,,159,141,128,116,917,,,,,,,,,-51,15:03:33.951,
,,940,60,326,160,182,0.006348,-0.000977,1.030762,1.461250,-3.692500,-0.245000,0.048764,-0.173010,-0.443256,,159,142,127,114,917,,,,,,,,,-51,15:03:33.979,
,,941,80,325,158,182,0.005371,-0.004395,1.031250,1.391250,-3.788750,-0.192500,0.054750,-0.179580,-0.443402,,160,139,125,112,915,,,,,,,,,-51,15:03:34.009,
,,942,100,327,160,181,0.000000,-0.003906,1.039551,1.321250,-3.771250,-0.175000,0.054750,-0.179580,-0.443402,,159,141,125,114,916,,,,,,,,,-51,15:03:34.011,
,,943,120,328,159,181,0.000000,-0.006836,1.034180,1.356250,-3.683750,-0.183750,0.047158,-0.171696,-0.448366,,158,139,125,114,915,,,,,,,,,-51,15:03:34.042,
,,944,140,325,159,182,0.004395,-0.007324,1.036621,1.312500,-3.753750,-0.131250,0.045844,-0.174032,-0.442234,,159,140,127,115,917,,,,,,,,,-51,15:03:34.071,
,,945,160,328,160,182,0.003418,-0.014648,1.033691,1.198750,-3.797500,-0.148750,0.048180,-0.176222,-0.440920,,158,142,127,116,918,,,,,,,,,-51,15:03:34.072,
,,946,180,327,160,183,0.012695,-0.011719,1.033691,1.251250,-3.806250,-0.175000,0.050224,-0.177098,-0.445008,,157,141,127,112,917,,,,,,,,,-51,15:03:34.100,
,,947,200,326,161,181,0.016113,-0.008789,1.035156,1.321250,-3.745000,-0.227500,0.050078,-0.176952,-0.446176,,157,140,125,115,917,,,,,,,,,-51,15:03:34.130,
,,948,220,327,160,182,0.010254,0.000977,1.032715,1.225000,-3.745000,-0.183750,0.050078,-0.176952,-0.446176,,157,139,125,115,916,,,,,,,,,-51,15:03:34.159,
,,949,240,327,160,182,0.009277,-0.002930,1.036621,1.277500,-3.753750,-0.166250,0.049932,-0.172864,-0.439606,,157,141,128,116,916,,,,,,,,,-51,15:03:34.161,
,,950,260,325,159,179,0.003906,-0.007812,1.040527,1.303750,-3.797500,-0.140000,0.055042,-0.177974,-0.451286,,155,138,125,115,917,,,,,,,,,-51,15:03:34.190,
,,951,280,326,158,182,0.002930,-0.015137,1.032715,1.435000,-3.806250,-0.210000,0.050370,-0.176514,-0.442234,,158,139,127,114,916,,,,,,,,,-51,15:03:34.222,
,,952,300,325,159,182,0.004883,-0.007324,1.031738,1.268750,-3.753750,-0.166250,0.047888,-0.173302,-0.447782,,157,140,125,112,917,,,,,,,,,-51,15:03:34.252,
,,953,320,326,159,181,0.003418,-0.004883,1.037109,1.347500,-3.850000,-0.140000,0.052998,-0.171842,-0.435956,,158,140,124,115,915,,,,,,,,,-51,15:03:34.252,
,,954,340,325,158,181,0.003906,-0.004883,1.035156,1.338750,-3.771250,-0.148750,0.047304,-0.170674,-0.437562,,158,140,125,112,915,,,,,,,,,-51,15:03:34.282,
,,955,360,326,159,180,0.012207,-0.009277,1.032715,1.321250,-3.858750,-0.148750,0.048034,-0.172864,-0.445884,,159,140,125,115,915,,,,,,,,,-51,15:03:34.310,
,,956,380,328,160,181,0.009766,-0.005371,1.034668,1.295000,-3.745000,-0.131250,0.047450,-0.173302,-0.444862,,160,138,125,115,916,,,,,,,,,-51,15:03:34.311,
,,957,400,327,160,182,0.011230,-0.008301,1.032715,1.382500,-3.762500,-0.122500,0.048764,-0.174908,-0.443694,,158,140,126,116,915,,,,,,,,,-51,15:03:34.341,
,,958,420,325,160,182,0.006836,-0.010742,1.036621,1.321250,-3.710000,-0.140000,0.048764,-0.174908,-0.443694,,159,140,127,114,917,,,,,,,,,-51,15:03:34.371,
,,959,440,326,158,181,0.005859,-0.007324,1.035645,1.286250,-3.718750,-0.148750,0.044092,-0.171404,-0.451432,,159,140,126,115,917,,,,,,,,,-51,15:03:34.372,
,,960,460,328,159,181,0.005859,-0.004395,1.034180,1.295000,-3.762500,-0.218750,0.054166,-0.177244,-0.435372,,158,139,125,113,915,,,,,,,,,-51,15:03:34.400,
,,961,480,326,160,181,0.001953,-0.001953,1.038574,1.338750,-3.832500,-0.218750,0.046136,-0.174616,-0.446176,,158,140,124,116,917,,,,,,,,,-51,15:03:34.461,
,,962,500,327,159,183,0.007324,-0.000488,1.035645,1.400000,-3.736250,-0.253750,0.050224,-0.175200,-0.437416,,158,141,127,114,917,,,,,,,,,-51,15:03:34.462,
,,963,520,326,160,183,0.010742,-0.004883,1.032715,1.400000,-3.797500,-0.140000,0.050224,-0.175200,-0.437416,,159,141,126,114,918,,,,,,,,,-51,15:03:34.463,
,,964,540,325,158,183,0.006836,-0.004883,1.035156,1.303750,-3.780000,-0.105000,0.052560,-0.171842,-0.447490,,157,139,128,114,916,,,,,,,,,-51,15:03:34.492,
,,965,560,328,161,180,0.001953,-0.006348,1.035156,1.198750,-3.657500,-0.192500,0.051100,-0.172864,-0.453184,,158,142,125,113,916,,,,,,,,,-51,15:03:34.492,
,,966,580,327,160,181,0.000977,-0.007812,1.032715,1.408750,-3.780000,-0.166250,0.052414,-0.174616,-0.446322,,160,139,125,115,917,,,,,,,,,-51,15:03:34.522,
,,967,600,326,161,182,0.007324,-0.003906,1.031250,1.400000,-3.885000,-0.183750,0.047012,-0.176806,-0.440336,,159,141,126,115,917,,,,,,,,,-51,15:03:34.551,
