SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.231R
DeviceName: Sensoria-C1-8462
SerialNumber: E22EC481EC559DCF
Location: 0x0000
Start: 2024-02-26T15:05:06-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,5494,0,328,162,183,0.008301,-0.001953,1.046387,1.303750,-3.727500,-0.245000,0.047158,-0.196662,-0.437854,,161,142,128,117,916,,,,,,,,,-49,15:05:06.121,
,,5495,20,327,159,181,0.007812,-0.006348,1.039551,1.268750,-3.815000,-0.183750,0.037960,-0.198998,-0.447052,,158,140,127,116,915,,,,,,,,,-49,15:05:06.121,
,,5496,40,328,161,185,0.008789,-0.010742,1.036133,1.260000,-3.797500,-0.227500,0.041172,-0.195056,-0.438730,,160,142,128,115,916,,,,,,,,,-49,15:05:06.146,
,,5497,60,328,159,183,0.006836,-0.012695,1.031738,1.321250,-3.815000,-0.175000,0.039128,-0.196370,-0.430116,,160,143,126,116,915,,,,,,,,,-49,15:05:06.176,
,,5498,80,320,155,178,0.005371,-0.012695,1.029297,1.251250,-3.771250,-0.201250,0.039128,-0.196370,-0.430116,,156,139,125,114,915,,,,,,,,,-49,15:05:06.177,
,,5499,100,328,162,183,0.007812,-0.009277,1.031738,1.268750,-3.850000,-0.227500,0.039712,-0.197684,-0.433620,,159,142,126,113,916,,,,,,,,,-49,15:05:06.205,
,,5500,120,329,159,181,0.001953,-0.004395,1.035156,1.216250,-3.710000,-0.175000,0.038398,-0.195202,-0.433036,,162,141,125,116,917,,,,,,,,,-49,15:05:06.236,
,,5501,140,328,160,183,0.007812,-0.000488,1.041504,1.277500,-3.780000,-0.245000,0.035332,-0.191698,-0.427050,,162,141,128,116,916,,,,,,,,,-49,15:05:06.237,
,,5502,160,327,160,184,0.007324,-0.004883,1.032715,1.312500,-3.675000,-0.148750,0.041318,-0.197100,-0.440336,,161,140,130,116,916,,,,,,,,,-49,15:05:06.297,
,,5503,180,328,159,186,0.008301,-0.002930,1.033691,1.365000,-3.780000,-0.201250,0.041318,-0.197100,-0.440336,,160,142,129,116,916,,,,,,,,,-49,15:05:06.310,
,,5504,200,328,160,183,0.010254,-0.009277,1.031738,1.365000,-3.823750,-0.166250,0.040296,-0.198706,-0.439314,,160,142,127,116,914,,,,,,,,,-49,15:05:06.310,
,,5505,220,327,160,182,0.004395,-0.005371,1.035645,1.330000,-3.832500,-0.183750,0.043362,-0.194034,-0.434350,,161,142,126,116,914,,,,,,,,,-49,15:05:06.326,
,,5506,240,328,160,182,0.003418,-0.005859,1.036133,1.347500,-3.745000,-0.096250,0.045114,-0.191844,-0.438146,,162,141,127,115,914,,,,,,,,,-49,15:05:06.356,
