SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.232D
DeviceName: Sensoria-C1-149B
SerialNumber: 994AF16EC5C9AA6E
Location: 0x0000
Start: 2024-02-27T10:51:48-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,424,0,334,224,209,0.020020,0.029297,0.993652,-0.070000,-3.220000,-1.470000,-0.638312,-0.199728,-1.251950,,177,155,136,123,902,,,,,,,,,-40,10:51:48.449,
,,425,20,333,222,208,0.019043,0.027832,0.998535,0.140000,-3.290000,-1.470000,-0.637874,-0.196516,-1.264944,,177,155,136,123,902,,,,,,,,,-39,10:51:48.474,
,,426,40,336,224,208,0.023438,0.030762,0.995117,0.000000,-3.220000,-1.400000,-0.632326,-0.195348,-1.266988,,177,157,137,123,903,,,,,,,,,-39,10:51:48.474,
,,427,60,335,224,210,0.020508,0.027832,0.997070,0.070000,-3.150000,-1.400000,-0.633932,-0.194326,-1.263776,,177,156,136,123,901,,,,,,,,,-39,10:51:48.504,
,,428,80,336,224,208,0.021484,0.028809,1.001953,0.070000,-3.150000,-1.400000,-0.633932,-0.194326,-1.263776,,176,154,136,122,902,,,,,,,,,-39,10:51:48.532,
,,429,100,336,223,207,0.016602,0.030273,1.000000,-0.070000,-3.080000,-1.400000,-0.639626,-0.191990,-1.242606,,175,154,137,123,902,,,,,,,,,-39,10:51:48.534,
,,430,120,335,223,207,0.020996,0.028809,0.996094,0.000000,-3.080000,-1.470000,-0.636852,-0.192282,-1.261732,,177,157,138,123,902,,,,,,,,,-39,10:51:48.564,
,,431,140,335,222,210,0.020020,0.027344,0.994141,0.140000,-3.150000,-1.470000,-0.636268,-0.198414,-1.258812,,176,156,137,123,901,,,,,,,,,-39,10:51:48.592,
,,432,160,335,224,210,0.022949,0.023926,1.001465,0.070000,-3.150000,-1.470000,-0.641962,-0.192720,-1.261586,,178,155,138,123,903,,,,,,,,,-39,10:51:48.594,
,,433,180,335,223,208,0.019043,0.026367,0.996582,0.070000,-3.080000,-1.540000,-0.641962,-0.192720,-1.261586,,177,154,138,122,902,,,,,,,,,-39,10:51:48.623,
,,434,200,333,224,209,0.023438,0.031738,1.000488,-0.070000,-3.150000,-1.400000,-0.633056,-0.192136,-1.259834,,176,155,137,122,901,,,,,,,,,-39,10:51:48.653,
,,435,220,336,223,208,0.020996,0.028809,0.998047,0.000000,-3.010000,-1.400000,-0.636268,-0.195056,-1.260856,,177,156,138,124,901,,,,,,,,,-39,10:51:48.653,
,,436,240,336,224,209,0.015625,0.029297,0.998047,0.070000,-3.220000,-1.400000,-0.636268,-0.196954,-1.246840,,177,157,136,123,902,,,,,,,,,-39,10:51:48.681,
