SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.231R
DeviceName: Sensoria-C1-8462
SerialNumber: E22EC481EC559DCF
Location: 0x0000
Start: 2024-02-26T15:18:46-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,46111,0,327,159,182,-0.997070,-0.003418,0.094238,1.181250,-3.893750,-0.253750,-1.856536,-0.181770,-0.884468,,161,143,129,116,913,,,,,,,,,-50,15:18:46.095,
,,46112,20,326,160,183,-0.999512,-0.001953,0.095215,1.225000,-3.832500,-0.175000,-1.859456,-0.175930,-0.887534,,160,142,129,118,914,,,,,,,,,-50,15:18:46.112,
,,46113,40,327,160,182,-0.996582,-0.002441,0.093262,1.417500,-3.710000,-0.052500,-1.852886,-0.178558,-0.891914,,160,142,127,116,914,,,,,,,,,-50,15:18:46.112,
,,46114,60,326,160,182,-0.992676,0.000488,0.089355,1.347500,-3.701250,-0.253750,-1.849382,-0.179142,-0.877460,,161,143,126,114,913,,,,,,,,,-50,15:18:46.142,
,,46115,80,327,160,183,-0.996582,-0.002930,0.090332,1.198750,-3.727500,-0.332500,-1.849382,-0.179142,-0.877460,,160,142,128,115,914,,,,,,,,,-50,15:18:46.172,
,,46116,100,329,159,183,-0.997559,0.001465,0.094238,1.268750,-3.788750,-0.297500,-1.854930,-0.177682,-0.887388,,161,141,128,117,913,,,,,,,,,-50,15:18:46.173,
,,46117,120,326,158,181,-0.997559,-0.003418,0.091797,1.146250,-3.893750,-0.253750,-1.851426,-0.183084,-0.888410,,159,142,126,115,914,,,,,,,,,-50,15:18:46.230,
,,46118,140,325,160,183,-0.992188,-0.008301,0.098145,1.120000,-3.893750,-0.262500,-1.856098,-0.183084,-0.888410,,160,143,128,116,914,,,,,,,,,-50,15:18:46.251,
,,46119,160,327,160,183,-0.998535,-0.003906,0.095215,1.102500,-3.788750,-0.262500,-1.853762,-0.178266,-0.877752,,162,141,128,117,914,,,,,,,,,-50,15:18:46.262,
,,46120,180,326,159,184,-0.997070,0.001953,0.098633,1.207500,-3.780000,-0.323750,-1.850696,-0.180602,-0.896148,,161,144,126,114,913,,,,,,,,,-50,15:18:46.291,
,,46121,200,327,160,182,-0.993652,0.005859,0.094238,1.216250,-3.780000,-0.271250,-1.855222,-0.175346,-0.901404,,160,142,128,115,914,,,,,,,,,-50,15:18:46.291,
,,46122,220,325,161,183,-0.995117,-0.000488,0.088867,1.312500,-3.788750,-0.192500,-1.856536,-0.176660,-0.902572,,161,142,128,115,914,,,,,,,,,-50,15:18:46.323,
,,46123,240,327,159,184,-1.002441,0.006836,0.089844,1.461250,-3.727500,-0.175000,-1.856536,-0.176660,-0.902572,,161,143,130,116,914,,,,,,,,,-50,15:18:46.354,
,,46124,260,327,160,183,-1.000488,-0.001465,0.093750,1.522500,-3.850000,-0.183750,-1.852156,-0.178120,-0.888556,,161,141,127,116,913,,,,,,,,,-50,15:18:46.355,
,,46125,280,328,159,182,-0.999512,-0.001465,0.094727,1.233750,-3.815000,-0.131250,-1.852010,-0.183230,-0.885490,,162,141,125,115,913,,,,,,,,,-50,15:18:46.382,
