Tick,S0,S1,S2,S3,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
1298,152,219,119,199,0.972656,1.417969,0.503906,68.359383,46.875004,-64.453133,0.632813,-0.179688,-0.210938
1299,160,225,119,198,1.34375,1.96875,0.09375,89.355476,17.089846,-171.386734,0.617188,-0.164063,-0.210938
1300,165,233,119,198,1.183594,1.5625,0.019531,73.730476,-6.835938,-242.187515,0.585938,-0.132813,-0.203125
1301,173,241,121,202,0.96875,1.523438,0.140625,49.31641,-15.13672,-250.000015,0.546875,-0.101563,-0.195313
1302,178,246,120,213,-0.316406,1.632813,0.640625,-8.789063,32.226566,-250.000015,0.46875,-0.09375,-0.195313
1303,182,257,121,240,-0.121094,1.347656,0.492188,42.968754,-13.183595,-250.000015,0.46875,-0.09375,-0.195313
1304,187,273,121,263,0.40625,1.949219,0.273438,124.023445,-43.457035,-250.000015,0.375,-0.078125,-0.179688
1305,189,283,122,277,-0.480469,1.527344,-0.089844,84.472664,-80.078133,-250.000015,0.296875,-0.09375,-0.148438
1306,190,288,122,282,0.070313,1.8125,0.0625,-25.390627,-10.253907,-142.57814,0.257813,-0.101563,-0.15625
1307,191,290,121,286,0.222656,1.996094,-0.113281,-133.300797,79.10157,41.992191,0.257813,-0.109375,-0.179688
1308,190,290,122,286,0.5625,1.996094,-0.113281,-164.062515,64.453133,-21.484377,0.257813,-0.109375,-0.179688
1309,190,290,122,287,1.394531,1.996094,-0.386719,-104.003914,-22.460939,-245.117203,0.242188,-0.125,-0.195313
1310,189,291,120,286,1.996094,1.996094,-0.5625,-53.710941,-70.312508,-250.000015,0.203125,-0.164063,-0.210938
1311,189,292,121,287,1.996094,1.910156,-0.871094,-49.804691,-44.433598,-245.117203,0.171875,-0.203125,-0.234375
1312,189,293,121,288,1.996094,1.363281,-1.132813,-125.000008,40.527348,-102.050789,0.15625,-0.226563,-0.234375
1313,189,293,122,287,1.484375,0.089844,-1.121094,-139.160172,44.921879,-19.042971,0.15625,-0.226563,-0.234375
1314,189,295,120,287,1.09375,-1.019531,-1.011719,-47.851566,-37.59766,36.132816,0.148438,-0.242188,-0.25
1315,189,294,121,286,1.488281,-1.039063,-0.972656,53.22266,-120.605476,125.000008,0.15625,-0.234375,-0.257813
1316,188,293,122,287,1.875,-0.570313,-0.746094,83.00782,-121.093758,240.23439,0.195313,-0.203125,-0.265625
1317,187,294,120,286,1.734375,0.148438,-0.5625,85.449226,-66.406258,249.511734,0.25,-0.164063,-0.273438
1318,188,294,121,286,1.167969,1.660156,-0.566406,166.01564,-69.335945,249.511734,0.3125,-0.132813,-0.25
1319,187,293,120,285,1.546875,1.96875,-0.355469,188.476578,-95.703133,249.511734,0.390625,-0.101563,-0.226563
1320,185,293,120,286,1.921875,1.996094,-0.191406,202.148453,-77.148445,249.511734,0.476563,-0.09375,-0.203125
1321,188,294,120,285,1.59375,1.996094,0.078125,217.285172,-22.949221,249.511734,0.5625,-0.109375,-0.171875
1322,187,295,119,286,1.140625,1.996094,0.109375,221.679703,63.964848,249.511734,0.632813,-0.148438,-0.140625
1323,186,294,121,286,-0.558594,1.996094,-0.140625,193.847672,134.76564,249.511734,0.632813,-0.148438,-0.140625
1324,187,296,121,287,-2,1.996094,-0.03125,153.320328,107.910164,249.511734,0.6875,-0.1875,-0.125
1325,187,295,122,285,-2,1.996094,0.671875,60.546879,38.085941,249.511734,0.734375,-0.226563,-0.132813
1326,187,298,122,286,-2,1.996094,0.738281,-51.269535,-10.253907,125.000008,0.757813,-0.25,-0.148438
1327,188,298,121,286,-2,1.996094,0.335938,-7.8125,-137.207047,-121.582039,0.75,-0.234375,-0.117188
1328,192,302,119,290,0.320313,0.167969,-0.773438,-243.164078,-53.22266,-250.000015,0.75,-0.234375,-0.117188
1329,206,316,101,305,0.472656,1.996094,-0.847656,-233.886734,87.402351,-228.027359,0.695313,-0.1875,-0.148438
1330,189,308,100,296,0.347656,-1.09375,1.046875,-164.550797,60.546879,-144.531265,0.671875,-0.179688,-0.195313
1331,174,288,99,286,-0.558594,0.984375,0.085938,-63.964848,26.367189,-91.308601,0.648438,-0.171875,-0.21875
1332,164,267,104,270,0.882813,1.324219,-0.339844,-74.707039,-20.019533,-41.015629,0.640625,-0.171875,-0.226563
1333,158,248,109,251,0.402344,0.710938,0.144531,-64.453133,-4.882813,-51.757816,0.640625,-0.171875,-0.226563
1334,153,236,114,233,0.683594,0.945313,0.097656,-23.437502,-3.90625,-40.527348,0.632813,-0.171875,-0.226563
1335,150,229,118,217,0.472656,1.03125,0.144531,-8.300782,25.878908,-47.851566,0.625,-0.164063,-0.242188
1336,147,226,120,205,0.605469,1.195313,0,22.949221,47.851566,-50.292973,0.609375,-0.15625,-0.234375
1337,151,226,122,199,1.554688,1.898438,0.429688,100.097664,21.484377,-151.855484,0.59375,-0.140625,-0.21875
1338,159,236,121,199,1.335938,1.828125,-0.039063,82.031258,-7.324219,-239.746109,0.59375,-0.140625,-0.21875
1339,165,243,120,201,1.261719,1.683594,0.019531,47.851566,-29.785158,-250.000015,0.554688,-0.109375,-0.203125
1340,170,249,122,212,-0.175781,1.605469,0.664063,-8.789063,18.554689,-250.000015,0.492188,-0.085938,-0.195313
1341,178,259,122,238,0.132813,1.707031,0.320313,53.710941,-51.269535,-250.000015,0.40625,-0.070313,-0.195313
1342,186,275,121,264,0.386719,1.996094,0.050781,118.16407,-77.148445,-250.000015,0.3125,-0.070313,-0.171875
1343,191,286,121,277,-0.78125,1.679688,-0.261719,49.31641,-106.933601,-250.000015,0.3125,-0.070313,-0.171875
1344,188,289,122,283,-0.0625,1.214844,0,-27.343752,-41.50391,-189.941422,0.25,-0.09375,-0.164063
1345,190,291,122,286,-0.300781,1.996094,-0.453125,-174.804703,85.937508,3.90625,0.242188,-0.101563,-0.1875
1346,191,293,122,286,0.066406,1.996094,-0.121094,-208.98439,77.148445,-19.531252,0.226563,-0.125,-0.203125
1347,190,292,121,286,0.792969,1.996094,-0.269531,-75.19532,6.835938,-201.17189,0.195313,-0.140625,-0.226563
1348,191,292,121,287,1.554688,1.996094,-0.4375,-36.621098,-87.890633,-250.000015,0.195313,-0.140625,-0.226563
1349,190,292,121,287,1.996094,1.996094,-0.738281,-65.917976,-84.472664,-250.000015,0.15625,-0.1875,-0.242188
1350,189,293,121,287,1.996094,1.90625,-0.769531,-113.281258,-33.69141,-197.753922,0.125,-0.234375,-0.257813
